,EntityID,Age,Gender,Primary Language,Race,Ethnicity,Veteran Status
0,5938,37.0,Female,English,White,Non-Hispanic or Latino,Data Not Collected
1,5939,17.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
2,5940,65.0,Male,English,Data Not Collected,Non-Hispanic or Latino,Yes
3,5941,30.0,Female,English,Data Not Collected,Client Refused,
4,5942,32.0,Male,English,Data Not Collected,Client Refused,
5,5943,39.0,Female,English,White,Non-Hispanic or Latino,No
6,5944,24.0,Male,English,White,Non-Hispanic or Latino,No
7,5945,35.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
8,5946,32.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
9,5947,10.0,Male,English,White,Non-Hispanic or Latino,
10,5949,24.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
11,5950,15.0,Male,English,Data Not Collected,Client Refused,
12,5951,13.0,Male,English,American Indian or Alaska Native,Non-Hispanic or Latino,
13,5953,87.0,Female,English,White,Non-Hispanic or Latino,
14,5954,29.0,Female,English,Data Not Collected,Client Refused,
15,5955,41.0,Male,English,White,Non-Hispanic or Latino,Yes
16,5956,74.0,Female,English,White,Non-Hispanic or Latino,No
17,5957,65.0,Female,English,Data Not Collected,Client Refused,
18,5958,27.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
19,5959,27.0,Female,English,Data Not Collected,Client Refused,Data Not Collected
20,5960,36.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
21,5961,12.0,Male,English,White,Non-Hispanic or Latino,
22,5962,58.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
23,5963,35.0,Male,English,Data Not Collected,Client Refused,No
24,5964,40.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
25,5965,27.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
26,5966,60.0,Male,English,Multi-Racial,Non-Hispanic or Latino,
27,5967,29.0,Male,English,Data Not Collected,Client Refused,No
28,5968,10.0,Female,English,Data Not Collected,Client Refused,
29,5970,9.0,Male,English,White,Non-Hispanic or Latino,
30,5971,41.0,Female,English,White,Non-Hispanic or Latino,
31,5972,11.0,Male,English,American Indian or Alaska Native,Non-Hispanic or Latino,
32,5973,59.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
33,5974,33.0,Male,English,White,Client Refused,No
34,5975,38.0,Female,English,White,Non-Hispanic or Latino,
35,5976,38.0,Female,English,Data Not Collected,Non-Hispanic or Latino,No
36,5977,33.0,Male,English,Data Not Collected,Client Refused,
37,5978,32.0,Male,English,White,Non-Hispanic or Latino,No
38,5979,36.0,Male,English,Data Not Collected,Non-Hispanic or Latino,No
39,5980,25.0,Female,English,Data Not Collected,Client Refused,
40,5981,39.0,Male,English,White,Non-Hispanic or Latino,No
41,5982,31.0,Female,English,Data Not Collected,Non-Hispanic or Latino,Data Not Collected
42,5983,69.0,Female,English,White,Client Refused,No
43,5984,21.0,Male,English,Data Not Collected,Client Refused,
44,5985,45.0,Female,English,White,Non-Hispanic or Latino,
45,5986,29.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
46,5987,28.0,Male,English,Data Not Collected,Client Refused,Data Not Collected
47,5988,20.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
48,5989,29.0,Male,English,Data Not Collected,Client Refused,No
49,5991,36.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
50,5992,61.0,Male,English,White,Non-Hispanic or Latino,Yes
51,5993,20.0,Female,English,White,Non-Hispanic or Latino,
52,5994,30.0,Male,English,Data Not Collected,Client Refused,
53,5995,10.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
54,5997,10.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
55,5998,16.0,Male,English,Data Not Collected,Client Refused,
56,5999,39.0,Female,English,Data Not Collected,Non-Hispanic or Latino,No
57,6001,46.0,Female,English,White,Non-Hispanic or Latino,No
58,6002,38.0,Male,English,Data Not Collected,Client Refused,
59,6003,39.0,Male,English,White,Non-Hispanic or Latino,No
60,6004,63.0,Female,English,Data Not Collected,Client Refused,
61,6005,26.0,Male,English,Data Not Collected,Client Refused,
62,6006,8.0,Female,English,Data Not Collected,Client Refused,
63,6007,10.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
64,6008,69.0,Male,English,Data Not Collected,Client Refused,
65,6009,65.0,Male,English,Data Not Collected,Non-Hispanic or Latino,
66,6010,49.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
67,6011,23.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
68,6012,16.0,Female,English,Data Not Collected,Non-Hispanic or Latino,
69,6013,32.0,Female,English,White,Non-Hispanic or Latino,No
