FamilyID,EntityID,DateAdded,DateRemoved,Relation to HoH
15728,13491,2012-11-07 00:00:00.000,9999-12-31 00:00:00.000,Self
5340,13328,2012-01-27 10:53:39.967,9999-12-31 00:00:00.000,Self
3036,20182,2012-01-26 00:00:00.000,9999-12-31 00:00:00.000,Self
6263,18882,2011-10-14 00:00:00.000,9999-12-31 00:00:00.000,Self
10568,24960,2011-11-07 11:27:16.983,9999-12-31 00:00:00.000,Self
13665,27389,2014-08-29 00:00:00.000,9999-12-31 00:00:00.000,Self
7213,7300,2013-07-25 12:37:42.230,9999-12-31 00:00:00.000,Self
12059,25895,2013-03-11 00:00:00.000,9999-12-31 00:00:00.000,Self
6057,15934,2013-12-18 00:00:00.000,9999-12-31 00:00:00.000,Self
15083,25979,2011-11-01 09:23:31.013,9999-12-31 00:00:00.000,Self
14452,21815,2014-05-12 08:39:51.577,9999-12-31 00:00:00.000,Self
14639,26508,2012-01-09 00:00:00.000,9999-12-31 00:00:00.000,Self
13770,12535,2013-08-06 00:00:00.000,9999-12-31 00:00:00.000,Self
8347,18055,2012-11-20 13:21:18.930,9999-12-31 00:00:00.000,Self
13622,21336,2011-11-02 00:00:00.000,9999-12-31 00:00:00.000,Self
15829,22613,2011-12-30 09:09:29.750,9999-12-31 00:00:00.000,Self
11004,23832,2013-05-24 00:00:00.000,9999-12-31 00:00:00.000,Self
14222,27745,2012-06-27 10:07:44.117,9999-12-31 00:00:00.000,Self
4874,29517,2013-03-03 00:00:00.000,9999-12-31 00:00:00.000,Self
12994,21115,2012-01-06 09:23:10.530,9999-12-31 00:00:00.000,Self
8611,30048,2011-09-22 00:00:00.000,2020-10-29 00:00:00.000,Self
8604,23499,2014-08-13 00:00:00.000,9999-12-31 00:00:00.000,Self
12508,21197,2012-02-28 00:00:00.000,9999-12-31 00:00:00.000,Self
6608,13942,2011-10-06 13:47:23.590,9999-12-31 00:00:00.000,Self
4865,30055,2014-08-27 00:00:00.000,9999-12-31 00:00:00.000,Self
11322,29155,2014-07-24 09:12:40.917,9999-12-31 00:00:00.000,Self
14894,28450,2011-10-20 00:00:00.000,9999-12-31 00:00:00.000,Self
5065,27746,2014-01-13 00:22:15.893,9999-12-31 00:00:00.000,Self
5012,14914,2012-05-16 00:00:00.000,9999-12-31 00:00:00.000,Self
10877,12194,2013-11-20 14:34:55.423,9999-12-31 00:00:00.000,Self
14605,7748,2011-10-27 11:28:25.967,9999-12-31 00:00:00.000,Self
10722,28777,2011-11-02 00:00:00.000,9999-12-31 00:00:00.000,Self
6046,29914,2011-12-08 08:37:42.403,9999-12-31 00:00:00.000,Self
7219,20692,2012-06-20 08:49:46.147,9999-12-31 00:00:00.000,Self
4055,30359,2012-12-20 09:01:55.540,9999-12-31 00:00:00.000,Self
14746,27326,2014-01-08 14:59:18.897,9999-12-31 00:00:00.000,Self
8334,23873,2013-06-04 00:00:00.000,2019-02-13 00:00:00.000,Self
7570,13093,2014-05-05 07:49:46.190,9999-12-31 00:00:00.000,Self
8397,25461,2012-04-17 13:46:16.700,9999-12-31 00:00:00.000,Self
4972,6920,2012-11-20 08:34:18.880,9999-12-31 00:00:00.000,Self
3161,15787,2013-05-14 09:32:17.113,9999-12-31 00:00:00.000,Self
11611,22753,2013-07-09 00:00:00.000,9999-12-31 00:00:00.000,Self
5891,19289,2012-04-06 00:00:00.000,9999-12-31 00:00:00.000,Self
6510,21786,2011-10-19 10:04:18.670,9999-12-31 00:00:00.000,Self
8186,28152,2012-11-05 00:00:00.000,9999-12-31 00:00:00.000,Self
8851,26608,2011-10-06 13:14:01.623,9999-12-31 00:00:00.000,Self
10022,20257,2011-11-03 13:22:57.840,9999-12-31 00:00:00.000,Self
14381,18553,2011-09-29 00:00:00.000,9999-12-31 00:00:00.000,Self
12213,23544,2011-11-01 00:00:00.000,9999-12-31 00:00:00.000,Self
5927,10380,2011-09-27 00:00:00.000,9999-12-31 00:00:00.000,Self
13809,22227,2012-12-12 10:19:46.767,9999-12-31 00:00:00.000,Self
4099,29702,2012-01-16 00:00:00.000,9999-12-31 00:00:00.000,Self
4899,6548,2011-10-17 00:00:00.000,9999-12-31 00:00:00.000,Self
2833,25092,2011-09-28 00:00:00.000,9999-12-31 00:00:00.000,Self
11020,5941,2013-12-18 13:10:10.043,9999-12-31 00:00:00.000,Self
3345,16231,2013-05-09 15:53:08.330,9999-12-31 00:00:00.000,Self
7905,28487,2011-09-21 13:03:16.607,9999-12-31 00:00:00.000,Self
5881,24887,2014-07-16 10:50:01.727,9999-12-31 00:00:00.000,Self
7311,26882,2013-08-07 12:45:27.347,9999-12-31 00:00:00.000,Self
11001,29390,2011-10-11 00:00:00.000,9999-12-31 00:00:00.000,Self
3411,26285,2013-01-07 00:00:00.000,9999-12-31 00:00:00.000,Self
13652,30334,2012-06-26 13:33:14.847,9999-12-31 00:00:00.000,Self
8982,14327,2012-03-08 12:44:13.097,9999-12-31 00:00:00.000,Self
15112,15161,2014-01-23 23:34:58.650,9999-12-31 00:00:00.000,Self
6879,10470,2014-03-03 10:23:27.653,9999-12-31 00:00:00.000,Self
6095,12552,2013-01-21 00:00:00.000,9999-12-31 00:00:00.000,Self
15861,20849,2013-02-19 00:00:00.000,9999-12-31 00:00:00.000,Self
12859,17372,2012-01-14 00:00:00.000,9999-12-31 00:00:00.000,Self
13260,8394,2013-05-22 15:06:16.593,9999-12-31 00:00:00.000,Self
11243,24544,2011-09-26 14:16:12.420,9999-12-31 00:00:00.000,Self
14130,17441,2013-05-16 00:00:00.000,9999-12-31 00:00:00.000,Self
13230,16752,2013-12-18 12:39:37.920,9999-12-31 00:00:00.000,Self
6931,18578,2011-09-16 00:00:00.000,9999-12-31 00:00:00.000,Self
14033,30171,2011-10-03 00:00:00.000,9999-12-31 00:00:00.000,Self
12237,30225,2014-03-21 00:00:00.000,9999-12-31 00:00:00.000,Self
3654,16518,2013-05-14 00:00:00.000,9999-12-31 00:00:00.000,Self
4041,28233,2011-10-03 00:00:00.000,9999-12-31 00:00:00.000,Self
6010,11951,2012-02-28 15:31:26.013,9999-12-31 00:00:00.000,Self
14615,22620,2012-10-25 00:00:00.000,9999-12-31 00:00:00.000,Self
4276,8900,2013-12-23 11:07:57.847,9999-12-31 00:00:00.000,Self
14345,18505,2014-01-27 08:59:33.373,9999-12-31 00:00:00.000,Self
15127,16248,2013-03-25 13:25:50.567,9999-12-31 00:00:00.000,Self
12647,8211,2011-10-20 00:00:00.000,9999-12-31 00:00:00.000,Self
