Description,Unit of Measure
Education,Each
Employment Assistance,Each
Transportation,Each
Food,Each
Case Management,Hours
Substance Abuse,Each
Housing Placement,Each
Financial Services,Each
Credit Repair,Each
Food Pantry,Each
Utility Deposit,Dollar
Utility Assistance,Each
Rental Assistance,Dollar
Rental/Security Deposit,Each
Moving Cost,Each
Transitional Housing,Each
Referral to Other Service(s),Each
Personal Enrichment,Each
Alcohol Counseling,Each
Bus Tokens,Each
Alcohol or Drug Abuse Services,Each
Classroom Training,Hours
Child Care,Dollar
Anger Management,Each
Emergency Shelter Bed Night,Dollar
Emergency Assistance,Each
HIV/AIDS-Related Services,Each
Criminal Justice / Legal Counselilng,Each
Mental Health Services,Each
Material Goods,Each
Occupational Training,Each
"Motel/Hotel ",Dollar
Life Skills,Each
Other Health Care Services,Each
Outreach,Each
Legal Services,Each
EyeDoctor,Each
"Teeth Cleaning ",Each
Dental Exam,Each
Fluoride Application,Each
Sealants,Each
Dental Extractions,Each
Dental Restorations,Each
Well Child Care,Each
Immunizations Update,Each
Routine Dental Care,Each
Mental Health,Each
"Beauty School ",Each
"Child Abuse ",Each
"Child Support ",Each
"Domestic Violence ",Each
"Family Services ",Each
"Self-Reliance ",Each
"Home Ownership ",Each
"Pregnancy ",Each
Home Purchase,Home Purchase
Greenbacks,Each
Indirect Food,Each
Indirect Clothing,Each
Indirect Material Goods Testorg,Each
Community Meeting,Each
Service w/approval,Each
Service no approval,Each
Deleteme,Each
Employment Services,Hours
AA Meeting,Each
Adult Counseling Service,Minutes
Foster Care Counseling,Each
GED Evaluation,Each
Victim Services,Each
Financial Review,Each
Drug Testing,Each
Moving Boxes,Each
Day Care,Each
Intake Services,Each
Person to Person,Each
Pre-Voc Employment,Each
Group Supported Employment,Each
Independent Employment,Each
Intake Services,Hours
Bed Night,Each
Intensive Training,Hours
Job Placement,Hours
Special Instruction,Hours
ADC,Days
Assessment Fee for Adults,Each
Benefits Analysis,Hours
CA,Each
GSE,Each
GSE Site Startup,Each
IE,Each
IE - Independent,Each
IFA,Dollar
Info Ed Assessment Fee,Hours
HRDC Intake,Counseling
Membership Fee,Each
PASS Plan,Each
Person Centered Plan,Dollar
PtP,Each
PtP - IC Rate @$15,Hours
PtP - IC Rate @$18,Hours
PP - IC Rate @20,Hours
PtP - IC Rate @$22,Hours
PtP - IC Rate @$23,Hours
SI,Each
PtP Personal Agent,Each
Transition Coordination,Hours
Transition IE,Each
Transition Services,Each
PtP Equest,Each
EIS ASAP,Each
EIS Birth to 3,Each
EIS HopeSparks,Each
Family Training,Hours
OT,Hours
PT,Hours
Special Instruction,Hours
Speech/Language,Each
EIS Eligibility Evaluation,Hours
Fee - Agency Consult,Each
Fee - Eligibility Evaluation,Each
Fee - Family Consult,Each
Fee - Family Training,Minutes
Fee - In Service Consult,Each
Fee - Mental Health,Minutes
Fee - OT,Minutes
Fee - PT,Minutes
Fee - Program Assessment,Hours
Fee - Special Instruction,Hours
Fee - Speech Therapy,Hours
Test Jane,Each
Vehicle Donation,Each
Gift Card,Dollar
Rent Deposit Subsidized,Each
Other Deposit,Each
Lease Payment,Each
Hoa,Each
Deposit Subsidized,Each
Other deposit,Each
Pet Deposit,Each
Rental Deposit,Each
Pet Deposit Subsidized,Each
Other Deposit Subsidized,Each
Utility Deposit Subsidized,Dollar
"Utility ",Each
"Rent ",Dollar
SOY Mentoring,Hours
Team Mentoring,Hours
Prepaid Housing Meals,Each
Room Damages,Each
Meal Tickets (Paid),Each
Temp Serv,Dollar
Deposit Refunds,Each
Meals - Breakfast,Each
Meals - Lunch,Each
Meals - Dinner,Each
NSF Check Fee,Each
Phone,Dollar
Cable,Dollar
UABA,Each
Refund Rent,Dollar
Client Refund,Dollar
"Outpatient ambulatory health ",Each
"Oral health care ",Each
Early intervention Part A,Each
Early intervention  Part B,Each
"Home health care ",Each
"Home and community-based health ",Each
Hospice,Each
"Mental health ",Each
"Medical nutrition therapy ",Each
Medical CM,Each
"AIDS Pharmaceutical Assistance ",Each
Health Insurance Program (HIP),Each
"Developmental assessment/ early intervention ",Each
"Emergency financial assistance ",Each
"Food bank/home delivered meals ",Each
"Health education/risk reduction ",Each
"Housing services ",Each
"Linguistic ",Each
"Permanency planning ",Each
"Psychosocial support ",Each
"health care/supportive services Referral ",Each
rehabilitation,Each
"Respite care ",Each
"Treatment adherence counseling ",Each
Structured Activities,Each
Resume - Writes,Each
Resume Assistance,Each
Daily Shelter Bed Night,Each
Wood,Each
Kerosene/Fuel oil,Each
Propane,Each
Natural Gas,Each
Denial Assessment,Each
Drywall,Each
Pumps,Each
Carpet,Each
Demolition,Each
Planning,Each
Inspection,Each
Removal of Debris,Each
New Home Construction,Each
Generator,Each
Drainage,Each
Hazzard Mitigation,Each
Elevation,Each
Job Training,Each
Street repair,Each
Community Education,Each
Counseling,Each
Group Counseling,Each
Disaster Case Management,Each
Disaster - Food,Each
Disaster - Financial Assistance,Each
Disaster - Home Repair,Each
Disaster - Temporary Housing,Each
Information & Referral,Each
Citizenship Application,Each
Family Visa Petitions,Each
Removal Proceedings,Each
Other,Each
"Abstinence Education ",Each
Marriage Promotion & Strengthening,Each
Father Involvement,Each
HS drop out prevention,Each
Post-Secondary Education,Each
IDAS Match,Each
Tax Preperation/Filing,Counseling
Micro Loan,Each
Other Savings Programs,Each
Adult Day Care,Each
Caregiver Support,Each
Chore Services,Each
Guardianship,Each
Homemaker,Each
Home Repair,Each
Homebound,Each
Infant Day Care,Each
Toddler Day Care/Pre-school,Each
Before/After School Care,Each
Sick Care,Each
Assist with CHIP enrollment,Each
Assist with Medicaid Enrollment,Each
Assist with Other Insurance Enrollment,Each
Assist with Health Insurance Enrollment,Each
Physical Exam,Each
Intermediate Care Facility,Each
Parish Nurse,Each
Prescription Drug Program,Each
Skilled Nursing Facility,Each
Health Related Support Groups,Each
Obligation,Each
Home Delivered Meals,Each
Community Garden,Each
Assist with SNAP enrollment,Each
Building Material,Each
Energy Conservation,Each
Foreclosure Prevention Counseling,Counseling
Mortgage Assistance,Each
Housing Counseling,Each
Housing Search & Info,Each
Supervised Living - DD,Each
Assisted Living,Each
CCRC,Each
Serious Mental Illness Housing,Each
Assistance to complete LIEAP application,Each
Child Search,Each
Home Study,Each
Adoption Registry,Each
At Risk Services,Each
Interpreter,Each
Post-Adoption Services,Each
Maternity Housing,Each
Adoption Support Group,Each
ESL,Each
Matched Savings Programs,Each
Unaccompanied Minors,Each
Job Placement,Each
Meals - Sack Lunch,Each
Single birth Father Support,Each
Households Served (budget),Each
