EntityID,Date,Childcare,Childcare_d,Education,Education_d,Employment,Employment_d,Financial Literacy,Financial Literacy_d,Food Security,Food Security_d,Health Care/Services,Health Care/Services_d,Housing,Housing_d,Income,Income_d,Nutrition,Nutrition_d,Transportation,Transportation_d
4198,2018-09-10,,,1.0,,,,,,,,,,,,,,,,,
5943,2016-08-02,7.0,,4.0,,8.0,,,,4.0,,,,15.0,,4.0,,,,5.0,
5944,2016-06-21,7.0,0.0,4.0,0.0,3.0,0.0,,,,,,,7.0,3.0,1.0,-1.0,,,2.0,-1.0
5944,2016-07-15,7.0,,4.0,,3.0,,,,2.0,,,,4.0,,2.0,,,,3.0,
5963,2015-03-13,,,4.0,,7.0,,,,4.0,,,,11.0,,2.0,,,,3.0,
5963,2015-11-20,,,4.0,0.0,5.0,-2.0,,,4.0,0.0,,,11.0,0.0,2.0,0.0,,,5.0,2.0
5967,2015-08-13,7.0,,4.0,,2.0,,,,2.0,,,,3.0,,1.0,,,,4.0,
5974,2015-01-06,7.0,,3.0,,7.0,,,,4.0,,,,11.0,,2.0,,,,4.0,
5974,2015-11-17,,,3.0,0.0,5.0,-2.0,,,4.0,0.0,,,11.0,0.0,4.0,2.0,,,5.0,1.0
5978,2016-02-05,7.0,,4.0,,8.0,,,,,,,,20.0,,6.0,,,,5.0,
5981,2016-03-03,7.0,,5.0,,3.0,,,,,,,,16.0,,5.0,,,,,
5981,2016-03-24,7.0,0.0,4.0,-1.0,3.0,0.0,,,,,,,15.0,-1.0,5.0,0.0,,,5.0,
5981,2016-12-08,7.0,0.0,5.0,1.0,3.0,0.0,,,,,,,16.0,1.0,6.0,1.0,,,,
5983,2016-03-23,7.0,,4.0,,8.0,,,,,,,,,,2.0,,,,5.0,
5983,2017-02-22,,,4.0,0.0,,,12.0,,5.0,,,,16.0,,1.0,-1.0,,,5.0,0.0
5983,2019-02-14,7.0,0.0,4.0,0.0,,,7.0,-5.0,3.0,-2.0,4.0,,7.0,-9.0,4.0,3.0,2.0,,4.0,-1.0
5989,2015-11-12,,,4.0,,2.0,,,,3.0,,,,15.0,,2.0,,,,4.0,
6001,2019-03-17,7.0,,4.0,,8.0,,,,4.0,,3.0,,17.0,,5.0,,,,5.0,
6003,2016-06-27,7.0,,4.0,,8.0,,,,3.0,,,,15.0,,3.0,,,,4.0,
6003,2017-02-13,,,4.0,0.0,8.0,0.0,,,,,,,15.0,0.0,5.0,2.0,,,,
